round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868811,6,325,138,0,0,0,347,189,0,2656,0,44,138
55868812,7,292,135,0,0,0,343,176,0,2938,0,44,135
55868813,11,314,169,0,0,0,322,191,0,2674,0,44,159
55868814,5,311,151,0,0,0,332,214,0,2799,0,44,133
55868815,6,279,160,0,0,0,326,189,0,2907,0,44,141
55868816,10,287,155,0,0,0,302,210,0,2662,0,44,153
55868817,9,305,179,0,0,0,307,192,0,2770,0,44,163
55868818,5,289,152,0,0,0,319,216,0,2755,0,44,152
55868819,8,317,151,0,0,0,309,188,0,2800,0,44,134
55868820,6,327,135,0,0,0,332,187,0,2850,0,44,131
55868821,7,303,162,0,0,0,346,186,0,2655,0,44,153
55868822,7,308,140,0,0,0,315,199,0,2768,0,44,129
55868823,10,310,167,0,0,0,335,194,0,2724,0,44,157
55868824,4,298,138,0,0,0,322,202,0,2795,0,44,134
55868825,10,304,145,0,0,0,319,176,0,2795,0,44,129
55868826,10,322,154,0,0,0,316,191,0,2752,0,44,148
55868827,7,282,130,0,0,0,341,187,0,2731,0,44,130
55868828,4,295,154,0,0,0,309,179,0,2769,0,44,141
55868829,6,301,153,0,0,0,319,194,0,3042,0,44,141
55868830,5,305,158,0,0,0,332,201,0,2677,0,44,157
55868831,9,307,150,0,0,0,324,200,0,2631,0,44,112
55868832,11,347,127,0,0,0,334,190,0,2715,0,44,116
55868833,4,311,162,0,0,0,365,169,0,2862,0,44,133
55868834,9,309,127,0,0,0,332,210,0,2744,0,44,122
55868835,8,311,152,0,0,0,345,188,0,2728,0,44,128
55868836,5,317,151,0,0,0,335,199,0,2851,0,44,142
55868837,6,310,141,0,0,0,333,183,0,2716,0,44,139
55868838,9,315,158,0,0,0,337,181,0,2812,0,44,157
55868839,5,345,156,0,0,0,333,204,0,2825,0,44,139
55868840,5,309,140,0,0,0,353,202,0,2698,0,44,140
55868841,6,279,159,0,0,0,336,185,0,2806,0,43,153
55868842,6,316,136,0,0,0,301,198,0,2713,0,44,136
55868843,8,305,165,0,0,0,335,193,0,2834,0,44,154
55868844,7,301,148,0,0,0,318,204,0,2817,0,44,132
55868845,6,338,131,0,0,0,328,191,0,2952,0,44,126
55868846,8,293,155,0,0,0,356,199,0,2494,0,44,155
