Address,Owner,DeFi,Inc. Eligible,Balance,Voting %,Blocks (All time),Ⱥ Payouts (All),Blocks (Last 100K),Ⱥ Payouts (100K),Blocks (Last 1M),Ⱥ Payouts (1M),Update Round,First Valid,Last Valid,Est. Expiration,Key Dilution
7GQICLA2XIAPA7SHX72VK34KXSIQTA5DS6DUOVJUNRVL5J3PEVRQY6WQ7I,,No,true,31453.687239,0.001621920194737293,139,1329.91402,2,18.31634,21,192.957988,55807103,53290534,56067676,2025-12-01T11:21:58.000Z,1667
WXUR3IYKYCE4PE4H47SL3AUL2YFVWSFXK7HNV7VLOE4YMFOCBGE5Q45SNM,,No,true,31409.986176,0.0016196667344013835,139,1331.954738,2,18.28059,13,119.854296,55787104,53800202,56577344,2025-12-18T05:21:07.000Z,1667
XISAECTZZ32PCXBPTKKEBHKW7AMOAUK4RWI526U2RHZPAVSIZ6QJ4K6T3A,,No,true,31407.046573,0.0016195151527621952,102,973.05352,0,0,13,119.480342,55738103,54632274,57632274,2026-01-21T21:23:48.000Z,1733
ANSUGMA5PFQ7ZBRGPSEWYNQ7VUN5BM3X5YE3KOGXVUEOHQ4OCIGTSSPDI4,,No,true,31392.126068,0.0016187457717929214,141,1347.12919,2,18.30534,12,109.974406,55799103,53144830,56144830,2025-12-04T00:13:09.000Z,1733
744AT7U4OL27XSLJDJZUTCLMGYSQOXGUUUUSK3PUB5UHRCBNFORGYZY47M,,No,true,31391.603911,0.0016187188465877239,154,1423.666493,0,0,11,100.931945,55807103,52845487,55845487,2025-11-24T04:07:16.000Z,1733
NIQRHMQGPLKIAVBUTXMPG7OCLJYH2GAVAUXDAHXEZLNFY5OMXHHQK5I7AM,,No,true,31379.695824,0.0016181048019881436,135,1281.696946,1,9.14017,12,110.542956,55792952,54018710,56815832,2025-12-26T01:27:08.000Z,1673
DMUZQCXPAYZU4IPI7K45TW5HFJYCB2MZOROGQ22U7BBYFN7ATXYLCIPSB4,,No,true,31373.234802,0.0016177716371677264,22,203.097954,0,0,14,128.684394,55794103,54107808,56884950,2025-12-28T07:58:01.000Z,1667
HJ5FYNNMU43QJ6IEZIYWAIZQQBEIGPBVGA6BTP754Q5DKWS4SPVWBZXIVQ,,No,true,31353.003668,0.0016167284117885301,113,1070.991965,0,0,18,165.382506,55763103,53867934,56645076,2025-12-20T10:46:24.000Z,1667
3QAEENNVO4HHNK2O3ZOO3XWXO55WXNSVWB6KNQXJWR7EVXNPY3FBVI3TCM,,No,true,31349.786153,0.001616562499521529,132,1250.791507,3,27.44401,17,156.071736,55784400,55481022,58481022,2026-02-18T18:49:18.000Z,1733
FKF4MQJKIQJHUH7VWSZWZEKWMXHWFKEVFXJH4EWRMK47MFCAAYZKZD3B2E,,No,true,31349.477733,0.001616546595738209,93,876.312259,5,45.7521,20,183.507927,55778475,52674588,56377445,2025-12-11T15:41:15.000Z,1925
F6XEIG5IN7NY4ANN3BBYHU36CLGYVA44GMCNINPIEWPNDW5UL5WYWGICBY,,No,true,31341.144022,0.0016161168650657665,14,128.549021,4,36.60847,14,128.549021,55804088,55061556,60061556,2026-04-11T17:25:17.000Z,2237
VOFHPFZ6G5XVMBEHDXSBXDXQB24U43YQHDB2BZVA6GKWTZM2KY62W6V7DQ,,No,true,31332.861452,0.0016156897714965691,148,1420.736657,1,9.14467,15,137.865601,55804595,54396496,58099353,2026-02-06T05:47:30.000Z,1925
