round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes,soft_unique_amplification_on_time,soft_unique_amplification_total,soft_message_amplification_on_time,soft_message_amplification_total,soft_duplication_on_time,soft_duplication_total,soft_total_messages,cert_unique_amplification_on_time,cert_unique_amplification_total,cert_message_amplification_on_time,cert_message_amplification_total,cert_duplication_on_time,cert_duplication_total,cert_total_messages,next_unique_amplification_on_time,next_unique_amplification_total,next_message_amplification_on_time,next_message_amplification_total,next_duplication_on_time,next_duplication_total,next_total_messages
55874444,5,296,126,0,0,0,322,189,0,296,126,475,244,1,1,2700,0,56,126,0.09899665551839465,0.1588628762541806,0.09899665551839465,0.20668896321070235,1.0,1.3010526315789475,618.0,0.084,0.16266666666666665,0.084,0.21,1.0,1.290983606557377,315.0,0.0,0.0,0.0,0.0,,,0.0
55874445,2,283,124,0,0,0,320,173,0,283,124,450,232,1,1,3025,0,56,68,0.09464882943143813,0.1505016722408027,0.09464882943143813,0.2016722408026756,1.0,1.34,603.0,0.08266666666666667,0.15466666666666667,0.08266666666666667,0.198,1.0,1.2801724137931034,297.0,0.0,0.0,0.0,0.0,,,0.0
55874446,6,298,122,0,0,0,308,175,0,298,122,459,229,1,1,2555,0,56,122,0.09966555183946488,0.15351170568561873,0.09966555183946488,0.20267558528428092,1.0,1.3202614379084967,606.0,0.08133333333333333,0.15266666666666667,0.08133333333333333,0.198,1.0,1.296943231441048,297.0,0.0,0.0,0.0,0.0,,,0.0
55874447,8,323,135,0,0,0,317,194,0,323,135,477,262,1,1,2909,0,56,133,0.10802675585284281,0.15953177257525084,0.10802675585284281,0.2140468227424749,1.0,1.3417190775681342,640.0,0.09,0.17466666666666666,0.09,0.21933333333333332,1.0,1.2557251908396947,329.0,0.0,0.0,0.0,0.0,,,0.0
55874448,5,307,132,0,0,0,343,190,0,307,132,484,255,1,1,2703,0,56,108,0.10267558528428093,0.16187290969899665,0.10267558528428093,0.21739130434782608,1.0,1.3429752066115703,650.0,0.088,0.17,0.088,0.21466666666666667,1.0,1.2627450980392156,322.0,0.0,0.0,0.0,0.0,,,0.0
55874449,9,318,140,0,0,0,336,191,0,318,140,486,265,1,1,3099,0,56,138,0.10635451505016723,0.1625418060200669,0.10635451505016723,0.21872909698996656,1.0,1.345679012345679,654.0,0.09333333333333334,0.17666666666666667,0.09333333333333334,0.22066666666666668,1.0,1.2490566037735849,331.0,0.0,0.0,0.0,0.0,,,0.0
55874450,7,330,127,0,0,0,332,187,0,330,127,489,246,1,1,2607,0,56,95,0.11036789297658862,0.16354515050167223,0.11036789297658862,0.2214046822742475,1.0,1.3537832310838447,662.0,0.08466666666666667,0.164,0.08466666666666667,0.20933333333333334,1.0,1.2764227642276422,314.0,0.0,0.0,0.0,0.0,,,0.0
55874451,4,305,137,0,0,0,350,193,0,305,137,495,266,1,1,2753,0,56,112,0.1020066889632107,0.16555183946488294,0.1020066889632107,0.21906354515050167,1.0,1.3232323232323233,655.0,0.09133333333333334,0.17733333333333334,0.09133333333333334,0.22,1.0,1.2406015037593985,330.0,0.0,0.0,0.0,0.0,,,0.0
55874452,6,349,158,0,0,0,324,187,0,349,158,515,270,1,1,2853,0,56,120,0.11672240802675585,0.17224080267558528,0.11672240802675585,0.22508361204013377,1.0,1.3067961165048543,673.0,0.10533333333333333,0.18,0.10533333333333333,0.23,1.0,1.2777777777777777,345.0,0.0,0.0,0.0,0.0,,,0.0
55874453,6,343,151,0,0,0,367,198,0,343,151,532,276,1,1,3004,0,56,149,0.11471571906354515,0.17792642140468226,0.11471571906354515,0.23745819397993312,1.0,1.3345864661654134,710.0,0.10066666666666667,0.184,0.10066666666666667,0.23266666666666666,1.0,1.2644927536231885,349.0,0.0,0.0,0.0,0.0,,,0.0
55874454,5,323,147,0,0,0,354,213,0,323,147,498,290,1,1,2655,0,56,147,0.10802675585284281,0.1665551839464883,0.10802675585284281,0.22642140468227426,1.0,1.359437751004016,677.0,0.098,0.19333333333333333,0.098,0.24,1.0,1.2413793103448276,360.0,0.0,0.0,0.0,0.0,,,0.0
55874455,5,334,140,0,0,0,344,197,0,334,140,496,275,1,1,2981,0,56,124,0.1117056856187291,0.16588628762541807,0.1117056856187291,0.22675585284280936,1.0,1.3669354838709677,678.0,0.09333333333333334,0.18333333333333332,0.09333333333333334,0.22466666666666665,1.0,1.2254545454545454,337.0,0.0,0.0,0.0,0.0,,,0.0
55874456,12,305,113,0,0,0,350,200,0,305,113,496,247,1,1,2455,0,56,95,0.1020066889632107,0.16588628762541807,0.1020066889632107,0.21906354515050167,1.0,1.3205645161290323,655.0,0.07533333333333334,0.16466666666666666,0.07533333333333334,0.20866666666666667,1.0,1.2672064777327936,313.0,0.0,0.0,0.0,0.0,,,0.0
