round,step,period,category,proposal_block_digest,proposal_encoding_digest,proposal_original_period,proposal_original_proposer,unique_senders,total_messages
55874398,2,0,late,f36aa28360afb8977a1102c9263c5ad25f0a150021eea8507f5f531ddbbfa061,3221b2e8c084f70592f2866e1deffb4a1c9b8950305f9cea30fdf4a506091e6e,0,XBYLS2E6YI6XXL5BWCAMOA4GTWHXWENZMX5UHXMRNWWUQ7BXCY5WC5TEPA,179,179
55874398,1,0,on_time,4f5c11e2b53921f951ce55a777cb57421b47a66ceacc4b956f34fe2da6b367dd,566bde7069b8a88c5d0a49f96b1c2ca83157ed5350b1988613dec863b0db2892,0,RLQLT2SKHF24QUGUUMVZAM672FNWFNSM5I2XGZNCHJVHDVFU7GMCQAXVVE,312,312
55874399,2,0,late,4f5c11e2b53921f951ce55a777cb57421b47a66ceacc4b956f34fe2da6b367dd,566bde7069b8a88c5d0a49f96b1c2ca83157ed5350b1988613dec863b0db2892,0,RLQLT2SKHF24QUGUUMVZAM672FNWFNSM5I2XGZNCHJVHDVFU7GMCQAXVVE,198,198
55874399,1,0,late,4f5c11e2b53921f951ce55a777cb57421b47a66ceacc4b956f34fe2da6b367dd,566bde7069b8a88c5d0a49f96b1c2ca83157ed5350b1988613dec863b0db2892,0,RLQLT2SKHF24QUGUUMVZAM672FNWFNSM5I2XGZNCHJVHDVFU7GMCQAXVVE,330,330
55874399,1,0,on_time,671c7789b890d509076e9d20561d4e0d1fafbd0662dfeb59adc099c3121f7a6e,13b34d994f4f0261ec02e013cc96a4293547499e7893d501e418d92672738910,0,VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,311,311
55874399,2,0,on_time,671c7789b890d509076e9d20561d4e0d1fafbd0662dfeb59adc099c3121f7a6e,13b34d994f4f0261ec02e013cc96a4293547499e7893d501e418d92672738910,0,VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,135,135
55874400,1,0,late,671c7789b890d509076e9d20561d4e0d1fafbd0662dfeb59adc099c3121f7a6e,13b34d994f4f0261ec02e013cc96a4293547499e7893d501e418d92672738910,0,VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,328,328
55874400,2,0,late,671c7789b890d509076e9d20561d4e0d1fafbd0662dfeb59adc099c3121f7a6e,13b34d994f4f0261ec02e013cc96a4293547499e7893d501e418d92672738910,0,VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,189,189
55874400,1,0,on_time,319f992f5e3dcf792af21b810d6733bc2d5f8a3c13ec869580c2bd877fb0444f,731d7177891a4dfed94cc25ddf0381f1b3ff3f1724b93b17e28238dff0486c0d,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,337,337
55874400,2,0,on_time,319f992f5e3dcf792af21b810d6733bc2d5f8a3c13ec869580c2bd877fb0444f,731d7177891a4dfed94cc25ddf0381f1b3ff3f1724b93b17e28238dff0486c0d,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,148,148
55874401,1,0,late,319f992f5e3dcf792af21b810d6733bc2d5f8a3c13ec869580c2bd877fb0444f,731d7177891a4dfed94cc25ddf0381f1b3ff3f1724b93b17e28238dff0486c0d,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,356,356
55874401,1,0,on_time,65837088974d79bd99dc6e60db99d23d7e5693fcb0c4fd452e6a1fb230be3b69,efe6ade03d668d8fea2ac507c90bf39c826ec785d482d4c6b0aca264ff420a1f,0,333VJBJR53IQN6ZHVNBGSXUU3X3T73HRZDUURVP4RDT4Q5GU3EO7AL6DOM,325,325
55874401,2,0,on_time,65837088974d79bd99dc6e60db99d23d7e5693fcb0c4fd452e6a1fb230be3b69,efe6ade03d668d8fea2ac507c90bf39c826ec785d482d4c6b0aca264ff420a1f,0,333VJBJR53IQN6ZHVNBGSXUU3X3T73HRZDUURVP4RDT4Q5GU3EO7AL6DOM,128,128
55874401,2,0,late,319f992f5e3dcf792af21b810d6733bc2d5f8a3c13ec869580c2bd877fb0444f,731d7177891a4dfed94cc25ddf0381f1b3ff3f1724b93b17e28238dff0486c0d,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,191,191
55874402,1,0,late,65837088974d79bd99dc6e60db99d23d7e5693fcb0c4fd452e6a1fb230be3b69,efe6ade03d668d8fea2ac507c90bf39c826ec785d482d4c6b0aca264ff420a1f,0,333VJBJR53IQN6ZHVNBGSXUU3X3T73HRZDUURVP4RDT4Q5GU3EO7AL6DOM,340,340
55874402,2,0,late,65837088974d79bd99dc6e60db99d23d7e5693fcb0c4fd452e6a1fb230be3b69,efe6ade03d668d8fea2ac507c90bf39c826ec785d482d4c6b0aca264ff420a1f,0,333VJBJR53IQN6ZHVNBGSXUU3X3T73HRZDUURVP4RDT4Q5GU3EO7AL6DOM,187,187
55874402,1,0,on_time,650d8475e9499332b8b7d185608ba3034d6d98f251b5637f69cc238251678db2,3481cf1995b3f7ee043caff9d776febeb6dffa2b9ed0990b213041df81a5d30f,0,TBN2J7U3J5D4I7R2EK7XIBFNTEGVLHNORAXQ6YBJY5IVNY5IIKOXSJRYCE,306,306
55874402,2,0,on_time,650d8475e9499332b8b7d185608ba3034d6d98f251b5637f69cc238251678db2,3481cf1995b3f7ee043caff9d776febeb6dffa2b9ed0990b213041df81a5d30f,0,TBN2J7U3J5D4I7R2EK7XIBFNTEGVLHNORAXQ6YBJY5IVNY5IIKOXSJRYCE,123,123
55874403,1,0,late,650d8475e9499332b8b7d185608ba3034d6d98f251b5637f69cc238251678db2,3481cf1995b3f7ee043caff9d776febeb6dffa2b9ed0990b213041df81a5d30f,0,TBN2J7U3J5D4I7R2EK7XIBFNTEGVLHNORAXQ6YBJY5IVNY5IIKOXSJRYCE,317,317
55874403,2,0,late,650d8475e9499332b8b7d185608ba3034d6d98f251b5637f69cc238251678db2,3481cf1995b3f7ee043caff9d776febeb6dffa2b9ed0990b213041df81a5d30f,0,TBN2J7U3J5D4I7R2EK7XIBFNTEGVLHNORAXQ6YBJY5IVNY5IIKOXSJRYCE,178,178
55874403,1,0,on_time,64b22e7d00d1beed4b44c52efb3720c60e4a7ab100909949ee552922bf7b46f3,81219d90a65b37d823db92986551b550016b5119a3395d5ed81bc399fa4c6fa3,0,NQXOGJ4N3DOVE5QTLBSCKSOYQXBNTBOR26CCX3GUN5VPMKAKB3UKKUMQYU,298,298
55874403,2,0,on_time,64b22e7d00d1beed4b44c52efb3720c60e4a7ab100909949ee552922bf7b46f3,81219d90a65b37d823db92986551b550016b5119a3395d5ed81bc399fa4c6fa3,0,NQXOGJ4N3DOVE5QTLBSCKSOYQXBNTBOR26CCX3GUN5VPMKAKB3UKKUMQYU,138,138
55874404,2,0,late,64b22e7d00d1beed4b44c52efb3720c60e4a7ab100909949ee552922bf7b46f3,81219d90a65b37d823db92986551b550016b5119a3395d5ed81bc399fa4c6fa3,0,NQXOGJ4N3DOVE5QTLBSCKSOYQXBNTBOR26CCX3GUN5VPMKAKB3UKKUMQYU,207,207
