round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes
55874647,6,333,132,0,0,0,299,189,0,333,132,478,258,1,1,2767,0,56,91
55874648,4,335,150,0,0,0,352,191,0,335,150,510,267,1,1,2896,0,56,132
55874649,6,318,147,0,0,0,352,203,0,318,147,503,275,1,1,2703,0,56,117
55874650,6,322,128,0,0,0,335,184,0,322,128,477,245,1,1,2966,0,56,109
55874651,5,297,120,0,0,0,328,181,0,297,120,472,242,1,1,2606,0,55,107
55874652,10,301,143,0,0,0,321,169,0,301,143,470,241,1,1,2842,0,55,112
55874653,5,290,138,0,0,0,317,177,0,290,138,474,246,1,1,2708,0,55,138
55874654,6,302,158,0,0,0,315,205,0,302,158,466,287,1,1,2785,0,55,104
55874655,3,306,145,0,0,0,314,192,0,306,145,475,268,1,1,3101,0,55,115
55874656,7,311,145,0,0,0,333,184,0,311,145,488,263,1,1,2722,0,55,141
55874657,9,310,125,0,0,0,323,186,0,310,125,481,251,1,1,2514,0,55,84
55874658,7,331,157,0,0,0,326,177,0,331,157,499,270,1,1,2976,0,55,149
55874659,6,298,130,0,0,0,343,193,0,298,130,485,255,1,1,2929,0,55,130
55874660,8,314,156,0,0,0,310,185,0,314,156,466,269,1,1,2573,0,55,136
55874661,4,290,144,0,0,0,329,185,0,290,144,472,259,1,1,2688,0,55,116
55874662,7,318,145,0,0,0,305,195,0,318,145,477,274,1,1,2831,0,55,128
55874663,4,285,145,0,0,0,333,181,0,285,145,466,260,1,1,2764,0,55,117
55874664,6,311,150,0,0,0,300,187,0,311,150,468,270,1,1,2840,0,55,149
55874665,9,291,156,0,0,0,329,189,0,291,156,470,270,1,1,2697,0,55,100
55874666,4,298,133,0,0,0,310,193,0,298,133,449,255,1,1,2726,0,55,124
55874667,8,314,143,0,0,0,313,185,0,314,143,469,256,1,1,2930,0,55,118
55874668,7,285,124,0,0,0,318,196,0,285,124,463,260,1,1,2609,0,55,110
55874669,6,321,154,0,0,0,307,182,0,321,154,474,266,1,1,2934,0,55,154
55874670,5,302,141,0,0,0,328,197,0,302,141,471,269,1,1,2631,0,55,139
55874671,5,286,128,0,0,0,313,194,0,286,128,447,254,1,1,2826,0,55,117
55874672,5,281,142,0,0,0,296,174,0,281,142,429,252,1,1,2795,0,55,142
55874673,8,315,154,0,0,0,294,198,0,315,154,454,287,1,1,2899,0,54,125
55874674,4,316,155,0,0,0,332,192,0,316,155,498,279,1,1,2674,0,54,132
55874675,6,336,138,0,0,0,329,199,0,336,138,498,270,1,1,2845,0,54,108
55874676,7,339,170,0,0,0,340,190,0,339,170,510,271,1,1,2979,0,54,154
55874677,6,298,143,0,0,0,342,209,0,298,143,479,282,1,1,2682,0,54,128
55874678,6,309,149,0,0,0,309,175,0,309,149,463,259,1,1,2652,0,54,149
55874679,5,312,147,0,0,0,318,191,0,312,147,469,269,1,1,2799,0,54,123
55874680,5,314,140,0,0,0,333,199,0,314,140,480,266,1,1,2852,0,54,124
55874681,10,304,132,0,0,0,333,180,0,304,132,475,245,1,1,2711,0,54,129
55874682,8,311,142,0,0,0,319,183,0,311,142,472,266,1,1,2731,0,54,127
55874683,5,325,134,0,0,0,329,198,0,325,134,492,264,1,1,2806,0,54,134
55874684,4,266,134,0,0,0,353,194,0,266,134,464,258,1,1,2583,0,54,124
55874685,6,305,135,0,0,0,361,251,0,305,135,495,314,1,1,2995,0,54,135
55874686,3,328,119,0,0,0,383,252,0,328,119,516,298,1,1,2769,0,54,116
55874687,11,302,157,0,0,0,439,254,0,302,157,564,318,1,1,2732,0,54,157
55874688,4,302,139,0,0,0,461,245,0,302,139,585,304,1,1,2682,0,54,88
55874689,4,330,167,0,0,0,448,235,0,330,167,578,312,1,1,2951,0,54,157
55874690,9,306,125,0,0,0,477,278,0,306,125,589,327,1,1,2850,0,54,94
